batch,analysis,employment_status,is_weekend_factor,dst_observes,onset_estimate,offset_estimate,derived_duration_hours,derived_midpoint_linear,duration_direct_estimate,duration_direct_minus_derived,midpoint_direct_estimate,midpoint_direct_minus_derived,strata
base,derived_duration_midpoint_main_grid,Employed For Wages,Weekday,NA,1.319855560926538,8.602833681514355,7.282978120587817,4.961344621220446,7.677473882350136,0.39449576176231904,5.230208368503039,0.26886374728259277,Overall | Employed For Wages | Weekday | AllDST
base,derived_duration_midpoint_main_grid,Employed For Wages,Weekend,NA,1.9627113471728277,9.235646689774212,7.272935342601384,5.59917901847352,7.71434595479244,0.4414106121910564,5.892082028984094,0.29290301051057455,Overall | Employed For Wages | Weekend | AllDST
base,derived_duration_midpoint_main_grid,Homemaker,Weekday,NA,-0.588831288174154,7.847886308456212,8.436717596630366,3.62952751014103,8.471473432682936,0.03475583605256993,3.9173866500508425,0.2878591399098127,Overall | Homemaker | Weekday | AllDST
base,derived_duration_midpoint_main_grid,Homemaker,Weekend,NA,-0.12381991463717376,8.123369008706815,8.24718892334399,3.999774547034821,8.323830611047137,0.07664168770314816,4.308036883448576,0.30826233641375467,Overall | Homemaker | Weekend | AllDST
base,derived_duration_midpoint_main_grid,Out Of Work Less Than One,Weekday,NA,2.7579248511753476,9.95452425414139,7.196599402966042,6.356224552658368,8.447922227510045,1.251322824544003,7.2624121660545375,0.9061876133961704,Overall | Out Of Work Less Than One | Weekday | AllDST
base,derived_duration_midpoint_main_grid,Out Of Work Less Than One,Weekend,NA,3.3118933126889742,10.407777813718509,7.095884501029534,6.859835563203742,8.393384521639007,1.297500020609473,7.785154145397843,0.9253185821941016,Overall | Out Of Work Less Than One | Weekend | AllDST
base,derived_duration_midpoint_main_grid,Out Of Work One Or More,Weekday,NA,-2.707445298282472,7.949406364647916,10.656851662930388,2.620980533182722,10.22521151333667,-0.4316401495937168,2.3904784825983656,-0.2305020505843558,Overall | Out Of Work One Or More | Weekday | AllDST
base,derived_duration_midpoint_main_grid,Out Of Work One Or More,Weekend,NA,-2.2513508235166206,8.164730929006593,10.416081752523214,2.956690052744986,10.027371894949482,-0.3887098575737315,2.7427599911143323,-0.21393006163065387,Overall | Out Of Work One Or More | Weekend | AllDST
base,derived_duration_midpoint_main_grid,Retired,Weekday,NA,-3.2900924467437536,-0.05536199878213477,3.234730447961619,22.327272777237056,4.193775234647688,0.9590447866860696,-0.9925419690524556,0.6801852537104871,Overall | Retired | Weekday | AllDST
base,derived_duration_midpoint_main_grid,Retired,Weekend,NA,-2.811083739758825,0.20333850972976064,3.0144222494885855,22.696127384985463,4.011560194701944,0.9971379452133582,-0.6057013305168399,0.6981712844976933,Overall | Retired | Weekend | AllDST
base,derived_duration_midpoint_main_grid,Self Employed,Weekday,NA,0.7548926597016102,8.123087459962267,7.368194800260657,4.438990059831939,7.787280007372832,0.41908520711217534,4.556608834409747,0.11761877457780834,Overall | Self Employed | Weekday | AllDST
base,derived_duration_midpoint_main_grid,Self Employed,Weekend,NA,1.2664132928052454,8.465870929376281,7.1994576365710365,4.866142111090763,7.660870541165037,0.4614129045940007,5.00598953669954,0.13984742560877805,Overall | Self Employed | Weekend | AllDST
base,derived_duration_midpoint_main_grid,Student,Weekday,NA,1.7467469254636523,9.056833880581577,7.310086955117924,5.4017904030226145,7.427064733233762,0.11697777811583789,5.602328217817354,0.20053781479473895,Overall | Student | Weekday | AllDST
base,derived_duration_midpoint_main_grid,Student,Weekend,NA,2.2827203918637387,9.520547065483772,7.237826673620033,5.901633728673755,7.400996514377975,0.16316984075794227,6.121550419893663,0.2199166912199075,Overall | Student | Weekend | AllDST
base,derived_duration_midpoint_main_grid,Unable To Work,Weekday,NA,-1.1954730251347874,7.277004447394134,8.472477472528922,3.0407657111296738,8.92526765423763,0.452790181708707,3.3059018630167096,0.2651361518870363,Overall | Unable To Work | Weekday | AllDST
base,derived_duration_midpoint_main_grid,Unable To Work,Weekend,NA,-0.7685575979533545,7.417958354906894,8.186515952860248,3.324700378476769,8.69516335607722,0.5086474032169725,3.618677191172046,0.2939768126952771,Overall | Unable To Work | Weekend | AllDST
dst,derived_duration_midpoint_main_grid,Employed For Wages,Weekday,DST,1.3322615094506614,8.620458044391333,7.288196534940671,4.976359776920997,7.680333099878905,0.3921365649382338,5.242070912313074,0.2657111353920776,Overall | Employed For Wages | Weekday | DST
dst,derived_duration_midpoint_main_grid,Employed For Wages,Weekday,NoDST,1.0798454739300252,8.27330538657916,7.193459912649136,4.6765754302545925,7.626152789307278,0.43269287665814193,5.005363555431737,0.3287881251771445,Overall | Employed For Wages | Weekday | NoDST
dst,derived_duration_midpoint_main_grid,Employed For Wages,Weekend,DST,1.9757526497705251,9.254310956480666,7.27855830671014,5.6150318031255955,7.717586651349024,0.43902834463888407,5.905103580351255,0.29007177722565913,Overall | Employed For Wages | Weekend | DST
dst,derived_duration_midpoint_main_grid,Employed For Wages,Weekend,NoDST,1.6961917569256522,8.859248093163892,7.16305633623824,5.277719925044773,7.644434674069096,0.481378337830856,5.615988002261428,0.3382680772166555,Overall | Employed For Wages | Weekend | NoDST
dst,derived_duration_midpoint_main_grid,Homemaker,Weekday,DST,-0.5703553249454709,7.8736773123998685,8.44403263734534,3.651660993727199,8.475664778553247,0.03163214120790769,3.934803267419178,0.2831422736919791,Overall | Homemaker | Weekday | DST
dst,derived_duration_midpoint_main_grid,Homemaker,Weekday,NoDST,-0.8227713604661073,7.526524654587696,8.349296015053804,3.351876647060795,8.42148446798162,0.07218845292781495,3.698095910537841,0.346219263477046,Overall | Homemaker | Weekday | NoDST
dst,derived_duration_midpoint_main_grid,Homemaker,Weekend,DST,-0.10442925400119984,8.150692990149686,8.255122244150886,4.023131868074243,8.328596722576718,0.07347447842583144,4.327149929881324,0.30401806180708135,Overall | Homemaker | Weekend | DST
dst,derived_duration_midpoint_main_grid,Homemaker,Weekend,NoDST,-0.3839901468460733,7.75563012683291,8.139620273678984,3.685819989993419,8.25544474529679,0.11582447161780608,4.038034351791498,0.3522143617980795,Overall | Homemaker | Weekend | NoDST
dst,derived_duration_midpoint_main_grid,Out Of Work Less Than One,Weekday,DST,2.7761830186696184,9.98084230103229,7.204659282362671,6.378512659850954,8.452552959068466,1.2478936767057949,7.279612465532089,0.9010998056811346,Overall | Out Of Work Less Than One | Weekday | DST
dst,derived_duration_midpoint_main_grid,Out Of Work Less Than One,Weekday,NoDST,2.523766983148982,9.633689643220118,7.109922660071136,6.07872831318455,8.398372648496839,1.288449988425703,7.042905108650752,0.9641767954662016,Overall | Out Of Work Less Than One | Weekday | NoDST
dst,derived_duration_midpoint_main_grid,Out Of Work Less Than One,Weekend,DST,3.330853825825243,10.435254789171028,7.1044009633457845,6.883054307498135,8.39844343027403,1.2940424669282455,7.8036423534266435,0.9205880459285076,Overall | Out Of Work Less Than One | Weekend | DST
dst,derived_duration_midpoint_main_grid,Out Of Work Less Than One,Weekend,NoDST,3.0512929329803695,10.040191925854254,6.988898992873884,6.545742429417311,8.325291452994103,1.3363924601202184,7.514526775336817,0.9687843459195058,Overall | Out Of Work Less Than One | Weekend | NoDST
dst,derived_duration_midpoint_main_grid,Out Of Work One Or More,Weekday,DST,-2.693838254623478,7.966367580700227,10.660205835323705,2.6362646630383746,10.227006725341278,-0.4331991099824268,2.404357120324101,-0.23190754271427316,Overall | Out Of Work One Or More | Weekday | DST
dst,derived_duration_midpoint_main_grid,Out Of Work One Or More,Weekday,NoDST,-2.946254290144114,7.619214922888055,10.56546921303217,2.3364803163719707,10.17282641476965,-0.3926427982625196,2.167649763442764,-0.16883055292920623,Overall | Out Of Work One Or More | Weekday | NoDST
dst,derived_duration_midpoint_main_grid,Out Of Work One Or More,Weekend,DST,-2.2370182481863754,8.182888710966253,10.419906959152629,2.972935231389939,10.029607137140124,-0.39029982201250313,2.757966947896717,-0.2149682834932225,Overall | Out Of Work One Or More | Weekend | DST
dst,derived_duration_midpoint_main_grid,Out Of Work One Or More,Weekend,NoDST,-2.516579141031249,7.787825847649478,10.304404988680728,2.6356233533091142,9.956455159860198,-0.3479498288205285,2.4688513698068904,-0.16677198350222433,Overall | Out Of Work One Or More | Weekend | NoDST
dst,derived_duration_midpoint_main_grid,Retired,Weekday,DST,-3.2738657997539233,-0.0316799053095167,3.242185894444406,22.34722714746828,4.197782331559483,0.9555964371150764,-0.977392813980023,0.6753800385516939,Overall | Retired | Weekday | DST
dst,derived_duration_midpoint_main_grid,Retired,Weekday,NoDST,-3.5262818352745593,-0.3788325631216889,3.1474492721528704,22.047442800801875,4.1436020209878555,0.9961527488349852,-1.21410017086136,0.7384570283367644,Overall | Retired | Weekday | NoDST
dst,derived_duration_midpoint_main_grid,Retired,Weekend,DST,-2.7938609386810827,0.22868849959902815,3.0225494382801106,22.717413780458973,4.016191971206889,0.9936425329267786,-0.5887058020158431,0.693880417525186,Overall | Retired | Weekend | DST
dst,derived_duration_midpoint_main_grid,Retired,Weekend,NoDST,-3.0734218315259563,-0.1663743637177467,2.9070474678082094,22.380101902378147,3.943039993926962,1.035992526118752,-0.8778213801056696,0.7420767175161842,Overall | Retired | Weekend | NoDST
dst,derived_duration_midpoint_main_grid,Self Employed,Weekday,DST,0.7655995256094608,8.138686711803862,7.373087186194401,4.452143118706662,7.789810349789866,0.41672316359546446,4.567023216030031,0.11488009732336836,Overall | Self Employed | Weekday | DST
dst,derived_duration_midpoint_main_grid,Self Employed,Weekday,NoDST,0.5131834900888244,7.79153405399169,7.278350563902865,4.152358772040257,7.735630039218238,0.4572794753153726,4.330315859148694,0.17795708710843705,Overall | Self Employed | Weekday | NoDST
dst,derived_duration_midpoint_main_grid,Self Employed,Weekend,DST,1.2775812475777797,8.482198399497145,7.204617151919366,4.879889823537463,7.66365569744455,0.45903854552518375,5.017221800878509,0.13733197734104685,Overall | Self Employed | Weekend | DST
dst,derived_duration_midpoint_main_grid,Self Employed,Weekend,NoDST,0.998020354732906,8.087135536180371,7.0891151814474656,4.542577945456639,7.590503720164621,0.5013885387171557,4.728106222788683,0.18552827733204325,Overall | Self Employed | Weekend | NoDST
dst,derived_duration_midpoint_main_grid,Student,Weekday,DST,1.760183935838421,9.075438858667892,7.315254922829471,5.417811397253157,7.429980970819175,0.11472604798970389,5.615263446575742,0.1974520493225853,Overall | Student | Weekday | DST
dst,derived_duration_midpoint_main_grid,Student,Weekday,NoDST,1.5077679003177846,8.72828620085572,7.220518300537936,5.118027050586752,7.375800660247547,0.15528235970961113,5.3785560896944045,0.26052903910765224,Overall | Student | Weekday | NoDST
dst,derived_duration_midpoint_main_grid,Student,Weekend,DST,2.2972155145432183,9.540954921353569,7.2437394068103504,5.9190852179483935,7.40460243661381,0.16086302980345923,6.136474246613007,0.2173890286646127,Overall | Student | Weekend | DST
dst,derived_duration_midpoint_main_grid,Student,Weekend,NoDST,2.0176546216983446,9.145892058036797,7.12823743633845,5.58177333986757,7.331450459333881,0.2032130229954312,5.84735866852318,0.2655853286556109,Overall | Student | Weekend | NoDST
dst,derived_duration_midpoint_main_grid,Unable To Work,Weekday,DST,-1.175263902218998,7.292928376569148,8.468192278788147,3.0588322371750754,8.918554461952407,0.4503621831642608,3.319142887071197,0.2603106498961214,Overall | Unable To Work | Weekday | DST
dst,derived_duration_midpoint_main_grid,Unable To Work,Weekday,NoDST,-1.4276799377396343,6.945775718756976,8.37345565649661,2.7590478905086706,8.86437415138078,0.49091849488416983,3.0824355301898603,0.3233876396811901,Overall | Unable To Work | Weekday | NoDST
dst,derived_duration_midpoint_main_grid,Unable To Work,Weekend,DST,-0.7473305180560911,7.435511149671339,8.18284166772743,3.344090315807624,8.689027395315259,0.5061857275878285,3.633739851706821,0.28964953589919773,Overall | Unable To Work | Weekend | DST
dst,derived_duration_midpoint_main_grid,Unable To Work,Weekend,NoDST,-1.0268914109009646,7.0404482863545645,8.067339697255528,3.006778437726799,8.615875418035332,0.5485357207798032,3.3446242736169944,0.3378458358901959,Overall | Unable To Work | Weekend | NoDST
